date,hibor_3m
1998-01-01,8.7202
1998-04-01,8.5030
1998-07-01,10.8839
1998-10-01,6.1369
1999-01-01,6.2292
1999-04-01,5.4807
1999-07-01,6.2560
1999-10-01,6.3341
2000-01-01,6.0841
2000-04-01,6.7068
2000-07-01,6.3066
2000-10-01,6.0193
2001-01-01,5.0536
2001-04-01,3.9903
2001-07-01,3.1570
2001-10-01,2.1146
2002-01-01,2.1027
2002-04-01,1.8817
2002-07-01,1.8095
2002-10-01,1.6562
2003-01-01,1.4211
2003-04-01,1.3318
2003-07-01,1.0543
2003-10-01,0.3244
2004-01-01,0.1667
2004-04-01,0.4189
2004-07-01,0.9173
2004-10-01,0.4389
2005-01-01,1.8181
2005-04-01,2.9713
2005-07-01,3.8514
2005-10-01,4.2772
2006-01-01,4.1918
2006-04-01,4.5986
2006-07-01,4.2646
2006-10-01,4.0222
2007-01-01,4.1805
2007-04-01,4.4705
2007-07-01,4.8036
2007-10-01,3.9967
2008-01-01,2.2495
2008-04-01,2.1212
2008-07-01,2.7436
2008-10-01,2.0829
2009-01-01,0.9107
2009-04-01,0.4970
2009-07-01,0.2115
2009-10-01,0.1399
2010-01-01,0.1364
2010-04-01,0.3232
2010-07-01,0.3126
2010-10-01,0.2704
2011-01-01,0.2273
2011-04-01,0.2599
2011-07-01,0.2765
2011-10-01,0.3207
2012-01-01,0.4020
2012-04-01,0.4031
2012-07-01,0.4009
2012-10-01,0.3974
2013-01-01,0.3836
2013-04-01,0.3786
2013-07-01,0.3840
2013-10-01,0.3805
2014-01-01,0.3754
2014-04-01,0.3750
2014-07-01,0.3731
2014-10-01,0.3774
2015-01-01,0.3857
2015-04-01,0.3869
2015-07-01,0.4012
2015-10-01,0.3818
2016-01-01,0.6118
2016-04-01,0.5507
2016-07-01,0.5734
2016-10-01,0.7782
2017-01-01,0.9595
2017-04-01,0.8106
2017-07-01,0.7703
2017-10-01,1.1501
2018-01-01,1.1679
2018-04-01,1.8181
2018-07-01,2.0869
2018-10-01,2.1571
2019-01-01,1.6833
2019-04-01,2.2244
2019-07-01,2.2914
2019-10-01,2.3164
2020-01-01,2.0585
2020-04-01,1.2294
2020-07-01,0.5161
2020-10-01,0.3850
2021-01-01,0.2321
2021-04-01,0.1722
2021-07-01,0.1467
2021-10-01,0.2159
2022-01-01,0.4410
2022-04-01,1.1261
2022-07-01,2.7287
2022-10-01,4.9621
2023-01-01,3.7274
2023-04-01,4.4745
2023-07-01,5.0033
2023-10-01,5.3352
2024-01-01,4.7030
2024-04-01,4.6802
2024-07-01,4.3180
2024-10-01,4.3640
2025-01-01,3.9032
2025-04-01,2.3299
2025-07-01,2.8130
2025-10-01,3.2177
2026-01-01,2.5887
2026-04-01,2.6049
