date,gdp_growth,cpi_inflation,unemployment,hibor_3m,china_gdp,us_ffr
1998-01-01,-4.2811,5.8296,3.2159,5.7466,8.5048,5.5200
1998-04-01,-5.8708,4.6202,3.8857,5.7266,8.1819,5.5000
1998-07-01,-5.8826,2.9126,4.5800,5.9413,7.9208,5.5333
1998-10-01,-4.6838,0.9515,5.2311,5.1867,7.7337,4.8600
1999-01-01,-2.6413,-1.0189,5.7716,4.9364,7.6326,4.7333
1999-04-01,-0.1221,-2.7540,6.1337,5.0509,7.6296,4.7467
1999-07-01,2.5068,-4.0094,6.2500,5.2970,7.7370,5.0933
1999-10-01,4.8920,-4.6085,6.0843,5.5101,7.9523,5.3067
2000-01-01,6.7358,-4.6460,5.7265,5.9509,8.2154,5.6767
2000-04-01,7.7543,-4.2841,5.2980,6.3320,8.4516,6.2733
2000-07-01,7.6634,-3.6855,4.9200,6.5975,8.5864,6.5200
2000-10-01,6.3360,-3.0045,4.6944,6.6671,8.5716,6.4733
2001-01-01,4.2720,-2.3634,4.6448,5.7421,8.4650,5.5933
2001-04-01,2.1281,-1.8765,4.7753,4.6081,8.3506,4.3267
2001-07-01,0.5609,-1.6582,5.0900,3.6559,8.3126,3.4967
2001-10-01,0.0468,-1.7793,5.5774,2.2421,8.4140,2.1333
2002-01-01,0.3414,-2.1377,6.1641,2.1299,8.6321,1.7333
2002-04-01,1.0196,-2.5875,6.7613,1.9774,8.9232,1.7500
2002-07-01,1.6567,-2.9831,7.2800,1.9968,9.2434,1.7400
2002-10-01,1.9490,-3.2033,7.6481,1.5509,9.5517,1.4433
2003-01-01,2.0779,-3.2246,7.8600,1.4456,9.8184,1.2500
2003-04-01,2.3462,-3.0478,7.9269,1.5078,10.0162,1.2467
2003-07-01,3.0563,-2.6738,7.8600,1.1516,10.1182,1.0167
2003-10-01,4.3913,-2.1200,7.6745,1.2842,10.1145,0.9967
2004-01-01,6.0545,-1.4693,7.4020,1.1933,10.0645,1.0033
2004-04-01,7.6295,-0.8211,7.0786,1.2308,10.0446,1.0100
2004-07-01,8.7001,-0.2747,6.7400,1.6232,10.1314,1.4333
2004-10-01,8.9713,0.1004,6.4163,2.3852,10.3761,1.9500
2005-01-01,8.6345,0.3551,6.1143,2.7187,10.7288,2.4700
2005-04-01,8.0025,0.5701,5.8352,3.0876,11.1146,2.9433
2005-07-01,7.3882,0.8264,5.5800,3.7923,11.4582,3.4600
2005-10-01,7.0366,1.1754,5.3491,4.1079,11.7123,3.9800
2006-01-01,6.9223,1.5510,5.1395,4.7276,11.9394,4.4567
2006-04-01,6.9521,1.8578,4.9477,4.9607,12.2301,4.9067
2006-07-01,7.0327,2.0003,4.7700,5.3638,12.6747,5.2467
2006-10-01,7.0782,1.9302,4.6010,5.5164,13.3065,5.2467
2007-01-01,7.0318,1.7877,4.4277,5.5805,13.9307,5.2567
2007-04-01,6.8438,1.7602,4.2356,5.5171,14.2958,5.2500
2007-07-01,6.4648,2.0350,4.0100,5.3118,14.1500,5.0733
2007-10-01,5.8464,2.7119,3.7530,4.7166,13.3391,4.4967
2008-01-01,4.9454,3.5407,3.5346,3.2788,12.0996,3.1767
2008-04-01,3.7199,4.1837,3.4413,2.2647,10.7653,2.0867
2008-07-01,2.1279,4.3032,3.5600,2.1439,9.6702,1.9400
2008-10-01,0.2257,3.6830,3.9362,0.8624,9.0709,0.5067
2009-01-01,-1.5377,2.5940,4.4514,0.4677,8.9138,0.1833
2009-04-01,-2.6150,1.4287,4.9459,0.2537,9.0681,0.1800
2009-07-01,-2.4592,0.5794,5.2600,0.4391,9.4027,0.1567
2009-10-01,-0.7521,0.3466,5.2779,0.3315,9.7973,0.1200
