date,gdp_growth,cpi_inflation,unemployment,hibor_3m,china_gdp,us_ffr,hk_exports_china_yoy,property_class_a,property_class_b,property_class_c,property_class_d,property_class_e,property_classes_abc,property_classes_de,hk_property_price_idx,property_class_a_remarks,property_class_b_remarks,property_class_c_remarks,property_class_d_remarks,property_class_e_remarks,property_classes_abc_remarks,property_classes_de_remarks,hk_property_price_remarks,hk_property_price_yoy,hk_property_price_qoq,hk_property_price_qoq_ann
1998-01-01,-2.7000,4.9667,3.3000,8.7202,7.3000,5.5200,4.4333,141.3667,137.8333,140.8333,141.1667,135.3333,139.7000,139.6333,139.6667,,,,,,,,,,,
1998-04-01,-6.0000,4.4000,4.3000,8.5030,7.0000,5.5000,-3.0333,126.3000,123.7667,124.8333,122.5000,123.8000,124.9667,122.8333,124.8000,,,,,,,,,,-10.6444,-36.2490
1998-07-01,-8.3000,2.8000,5.2000,10.8839,7.9000,5.5333,-12.2000,105.6333,102.3333,104.1000,102.3667,98.5333,103.8333,101.3000,103.6667,,,,,,,,,,-16.9338,-52.3900
1998-10-01,-6.3000,-0.7333,5.9000,6.1369,9.2000,4.8600,-18.9333,100.7667,100.1667,99.2667,98.5000,98.4000,100.3000,98.4667,100.1667,,,,,,,,,,-3.3762,-12.8362
1999-01-01,-3.0000,-1.8000,6.3000,6.2292,9.0000,4.7333,-14.8000,103.1000,102.6000,102.3000,99.8667,96.8333,102.7667,98.9667,102.5000,,,,,,,,,-26.6110,2.3295,9.6485
1999-04-01,0.4000,-3.9667,6.1000,5.4807,7.9000,4.7467,-11.0000,103.0333,102.1333,101.9333,101.5333,101.9000,102.4667,101.6333,102.4000,,,,,,,,,-17.9487,-0.0976,-0.3897
1999-07-01,4.0000,-5.8667,6.3000,6.2560,7.7000,5.0933,4.6667,99.3000,99.9000,99.5000,101.9333,100.2000,99.6333,101.4333,99.7333,,,,,,,,,-3.7942,-2.6042,-10.0168
1999-10-01,8.4000,-4.1333,6.3000,6.3341,6.8000,5.3067,10.0000,94.5333,95.3333,96.2333,96.6667,101.1000,95.1000,97.9333,95.2667,,,,,,,,,-4.8918,-4.4786,-16.7465
2000-01-01,10.7000,-5.1333,5.6000,6.0841,8.8000,5.6767,22.7333,95.3333,97.1000,98.0667,99.4000,103.9000,96.5000,100.6333,96.7667,,,,,,,,,-5.5935,1.5745,6.4484
2000-04-01,7.4000,-4.4667,5.1000,6.7068,9.2000,6.2733,22.7667,88.6333,89.7667,92.8000,96.6000,97.8000,89.6667,96.9000,90.0667,,,,,,,,,-12.0443,-6.9239,-24.9496
2000-07-01,7.2000,-2.8333,4.8000,6.3066,8.9000,6.5200,22.9000,86.4667,87.1000,88.2333,91.2667,95.3667,86.9667,92.3333,87.3333,,,,,,,,,-12.4332,-3.0348,-11.5977
2000-10-01,5.7000,-2.5000,4.4000,6.0193,7.6000,6.4733,17.2333,82.6667,84.0333,85.7667,89.6667,97.7000,83.7000,91.7667,84.1667,,,,,,,,,-11.6515,-3.6260,-13.7339
2001-01-01,2.0000,-1.9333,4.5000,5.0536,9.5000,5.5933,10.0333,79.3667,80.9333,83.4333,86.9667,91.5333,80.6000,88.1667,81.0000,,,,,,,,,-16.2935,-3.7624,-14.2213
2001-04-01,1.1000,-1.3333,4.5000,3.9903,8.6000,4.3267,1.3333,79.8667,81.0667,84.5667,84.4667,89.1000,80.9333,85.7000,81.2000,,,,,,,,,-9.8446,0.2469,0.9913
2001-07-01,0.1000,-1.0667,5.2000,3.1570,8.0000,3.4967,4.2500,77.1000,79.0333,79.5667,82.6333,88.7000,78.3333,84.2000,78.6333,,,,,,,,,-9.9618,-3.1609,-12.0567
2001-10-01,-0.8000,-2.0667,6.3000,2.1146,7.5000,2.1333,-7.9000,72.3000,74.1667,75.4667,78.5667,81.8333,73.5667,79.3333,73.8333,,,,,,,,,-12.2772,-6.1043,-22.2710
2002-01-01,-0.6000,-2.6667,7.0000,2.1027,9.0000,1.7333,2.5333,72.6333,73.9333,74.7667,78.1333,85.1333,73.5000,79.7333,73.7667,,,,,,,,,-8.9300,-0.0903,-0.3607
2002-04-01,0.5000,-3.1667,7.5000,1.8817,8.9000,1.7500,8.2000,69.7333,73.0000,74.1667,77.6333,84.1667,71.8667,79.1667,72.2000,,,,,,,,,-11.0837,-2.1238,-8.2284
2002-07-01,2.4000,-3.4667,7.3000,1.8095,9.7000,1.7400,12.8000,66.6667,69.0000,70.4333,76.3000,78.9667,68.2667,76.9667,68.6333,,,,,,,,,-12.7173,-4.9400,-18.3433
2002-10-01,4.1000,-2.9000,7.4000,1.6562,9.2000,1.4433,25.3000,63.2000,64.8333,68.1667,74.4333,79.0333,64.5000,75.6333,65.1000,,,,,,,,,-11.8284,-5.1481,-19.0562
2003-01-01,3.9000,-1.9000,7.5000,1.4211,11.2000,1.2500,27.9667,60.8333,62.6000,66.0000,70.7000,76.5000,62.2000,72.3000,62.7333,,,,,,,,,-14.9571,-3.6354,-13.7678
2003-04-01,-0.6000,-2.4667,8.5000,1.3318,9.2000,1.2467,20.7667,58.3000,59.4333,63.3333,67.3000,71.8333,59.3333,68.6000,59.8333,,,,,,,,,-17.1283,-4.6227,-17.2478
2003-07-01,4.0000,-3.6667,8.2000,1.0543,10.1000,1.0167,16.4667,57.5000,59.0000,62.4667,67.2000,74.0667,58.7333,69.2000,59.3000,,,,,,,,,-13.5988,-0.8914,-3.5181
2003-10-01,4.7000,-2.3333,7.5000,0.3244,10.1000,0.9967,21.1667,62.2000,63.5000,69.3667,75.7333,82.5667,63.5667,77.7667,64.3667,,,,,,,,,-1.1265,8.5441,38.8115
2004-01-01,7.9000,-1.8667,7.2000,0.1667,10.6000,1.0033,17.1667,69.5000,72.7667,81.9667,88.0000,97.1000,72.4333,90.7333,73.6000,,,,,,,,,17.3220,14.3449,70.9492
2004-04-01,12.1000,-0.8333,6.7000,0.4189,11.6000,1.0100,22.1667,71.9667,76.5000,86.6333,95.4000,103.7000,75.8333,97.8333,77.2000,,,,,,,,,29.0251,4.8913,21.0481
2004-07-01,6.9000,0.8000,6.7000,0.9173,9.8000,1.4333,23.0333,72.6000,76.9667,87.6333,95.6667,107.1333,76.4000,98.9000,77.8000,,,,,,,,,31.1973,0.7772,3.1452
2004-10-01,8.2000,0.2000,6.6000,0.4389,8.8000,1.9500,17.1667,76.6333,82.4667,95.0000,106.9000,118.4000,81.6000,109.9333,83.3667,,,,,,,,,29.5184,7.1551,31.8413
