date,gdp_growth,cpi_inflation,unemployment,hibor_3m,china_gdp,us_ffr,hk_exports_china_yoy,hk_property_price_yoy,hk_property_price_qoq
1999-01-01,-3.0000,-1.8000,6.3000,6.2292,9.0000,4.7333,-14.8000,-26.6110,2.3295
1999-04-01,0.4000,-3.9667,6.1000,5.4807,7.9000,4.7467,-11.0000,-17.9487,-0.0976
1999-07-01,4.0000,-5.8667,6.3000,6.2560,7.7000,5.0933,4.6667,-3.7942,-2.6042
1999-10-01,8.4000,-4.1333,6.3000,6.3341,6.8000,5.3067,10.0000,-4.8918,-4.4786
2000-01-01,10.7000,-5.1333,5.6000,6.0841,8.8000,5.6767,22.7333,-5.5935,1.5745
2000-04-01,7.4000,-4.4667,5.1000,6.7068,9.2000,6.2733,22.7667,-12.0443,-6.9239
2000-07-01,7.2000,-2.8333,4.8000,6.3066,8.9000,6.5200,22.9000,-12.4332,-3.0348
2000-10-01,5.7000,-2.5000,4.4000,6.0193,7.6000,6.4733,17.2333,-11.6515,-3.6260
2001-01-01,2.0000,-1.9333,4.5000,5.0536,9.5000,5.5933,10.0333,-16.2935,-3.7624
2001-04-01,1.1000,-1.3333,4.5000,3.9903,8.6000,4.3267,1.3333,-9.8446,0.2469
2001-07-01,0.1000,-1.0667,5.2000,3.1570,8.0000,3.4967,4.2500,-9.9618,-3.1609
2001-10-01,-0.8000,-2.0667,6.3000,2.1146,7.5000,2.1333,-7.9000,-12.2772,-6.1043
2002-01-01,-0.6000,-2.6667,7.0000,2.1027,9.0000,1.7333,2.5333,-8.9300,-0.0903
2002-04-01,0.5000,-3.1667,7.5000,1.8817,8.9000,1.7500,8.2000,-11.0837,-2.1238
2002-07-01,2.4000,-3.4667,7.3000,1.8095,9.7000,1.7400,12.8000,-12.7173,-4.9400
2002-10-01,4.1000,-2.9000,7.4000,1.6562,9.2000,1.4433,25.3000,-11.8284,-5.1481
2003-01-01,3.9000,-1.9000,7.5000,1.4211,11.2000,1.2500,27.9667,-14.9571,-3.6354
2003-04-01,-0.6000,-2.4667,8.5000,1.3318,9.2000,1.2467,20.7667,-17.1283,-4.6227
2003-07-01,4.0000,-3.6667,8.2000,1.0543,10.1000,1.0167,16.4667,-13.5988,-0.8914
2003-10-01,4.7000,-2.3333,7.5000,0.3244,10.1000,0.9967,21.1667,-1.1265,8.5441
2004-01-01,7.9000,-1.8667,7.2000,0.1667,10.6000,1.0033,17.1667,17.3220,14.3449
2004-04-01,12.1000,-0.8333,6.7000,0.4189,11.6000,1.0100,22.1667,29.0251,4.8913
2004-07-01,6.9000,0.8000,6.7000,0.9173,9.8000,1.4333,23.0333,31.1973,0.7772
2004-10-01,8.2000,0.2000,6.6000,0.4389,8.8000,1.9500,17.1667,29.5184,7.1551
