date,gdp_growth,cpi_inflation,unemployment,china_gdp,us_ffr,hibor_3m
1998-01-01,-4.2811,5.8296,3.2159,8.5048,5.5200,5.7466
1998-04-01,-5.8708,4.6202,3.8857,8.1819,5.5000,5.7266
1998-07-01,-5.8826,2.9126,4.5800,7.9208,5.5333,5.9413
1998-10-01,-4.6838,0.9515,5.2311,7.7337,4.8600,5.1867
1999-01-01,-2.6413,-1.0189,5.7716,7.6326,4.7333,4.9364
1999-04-01,-0.1221,-2.7540,6.1337,7.6296,4.7467,5.0509
1999-07-01,2.5068,-4.0094,6.2500,7.7370,5.0933,5.2970
1999-10-01,4.8920,-4.6085,6.0843,7.9523,5.3067,5.5101
2000-01-01,6.7358,-4.6460,5.7265,8.2154,5.6767,5.9509
2000-04-01,7.7543,-4.2841,5.2980,8.4516,6.2733,6.3320
2000-07-01,7.6634,-3.6855,4.9200,8.5864,6.5200,6.5975
2000-10-01,6.3360,-3.0045,4.6944,8.5716,6.4733,6.6671
2001-01-01,4.2720,-2.3634,4.6448,8.4650,5.5933,5.7421
2001-04-01,2.1281,-1.8765,4.7753,8.3506,4.3267,4.6081
2001-07-01,0.5609,-1.6582,5.0900,8.3126,3.4967,3.6559
2001-10-01,0.0468,-1.7793,5.5774,8.4140,2.1333,2.2421
2002-01-01,0.3414,-2.1377,6.1641,8.6321,1.7333,2.1299
2002-04-01,1.0196,-2.5875,6.7613,8.9232,1.7500,1.9774
2002-07-01,1.6567,-2.9831,7.2800,9.2434,1.7400,1.9968
2002-10-01,1.9490,-3.2033,7.6481,9.5517,1.4433,1.5509
2003-01-01,2.0779,-3.2246,7.8600,9.8184,1.2500,1.4456
2003-04-01,2.3462,-3.0478,7.9269,10.0162,1.2467,1.5078
2003-07-01,3.0563,-2.6738,7.8600,10.1182,1.0167,1.1516
2003-10-01,4.3913,-2.1200,7.6745,10.1145,0.9967,1.2842
2004-01-01,6.0545,-1.4693,7.4020,10.0645,1.0033,1.1933
2004-04-01,7.6295,-0.8211,7.0786,10.0446,1.0100,1.2308
2004-07-01,8.7001,-0.2747,6.7400,10.1314,1.4333,1.6232
2004-10-01,8.9713,0.1004,6.4163,10.3761,1.9500,2.3852
2005-01-01,8.6345,0.3551,6.1143,10.7288,2.4700,2.7187
2005-04-01,8.0025,0.5701,5.8352,11.1146,2.9433,3.0876
2005-07-01,7.3882,0.8264,5.5800,11.4582,3.4600,3.7923
2005-10-01,7.0366,1.1754,5.3491,11.7123,3.9800,4.1079
2006-01-01,6.9223,1.5510,5.1395,11.9394,4.4567,4.7276
2006-04-01,6.9521,1.8578,4.9477,12.2301,4.9067,4.9607
2006-07-01,7.0327,2.0003,4.7700,12.6747,5.2467,5.3638
2006-10-01,7.0782,1.9302,4.6010,13.3065,5.2467,5.5164
2007-01-01,7.0318,1.7877,4.4277,13.9307,5.2567,5.5805
2007-04-01,6.8438,1.7602,4.2356,14.2958,5.2500,5.5171
2007-07-01,6.4648,2.0350,4.0100,14.1500,5.0733,5.3118
2007-10-01,5.8464,2.7119,3.7530,13.3391,4.4967,4.7166
2008-01-01,4.9454,3.5407,3.5346,12.0996,3.1767,3.2788
2008-04-01,3.7199,4.1837,3.4413,10.7653,2.0867,2.2647
2008-07-01,2.1279,4.3032,3.5600,9.6702,1.9400,2.1439
2008-10-01,0.2257,3.6830,3.9362,9.0709,0.5067,0.8624
2009-01-01,-1.5377,2.5940,4.4514,8.9138,0.1833,0.4677
2009-04-01,-2.6150,1.4287,4.9459,9.0681,0.1800,0.2537
2009-07-01,-2.4592,0.5794,5.2600,9.4027,0.1567,0.4391
2009-10-01,-0.7521,0.3466,5.2779,9.7973,0.1200,0.3315
2010-01-01,1.9070,0.6616,5.0595,10.1732,0.1333,0.3156
2010-04-01,4.6897,1.3639,4.7086,10.4622,0.1933,0.5045
2010-07-01,6.7677,2.2929,4.3290,10.5963,0.1867,0.5398
2010-10-01,7.5211,3.2916,4.0061,10.5265,0.1867,0.5298
2011-01-01,7.1646,4.2185,3.7517,10.2819,0.1567,0.3227
2011-04-01,6.1214,4.9356,3.5592,9.9107,0.0933,0.3124
2011-07-01,4.8147,5.3052,3.4220,9.4613,0.0833,0.3665
2011-10-01,3.6098,5.2442,3.3334,8.9822,0.0733,0.4209
2012-01-01,2.6393,4.8883,3.2860,8.5222,0.1033,0.3054
2012-04-01,1.9779,4.4280,3.2724,8.1305,0.1533,0.3848
2012-07-01,1.7003,4.0539,3.2850,7.8562,0.1433,0.2827
2012-10-01,1.8371,3.9113,3.3156,7.7306,0.1600,0.2904
2013-01-01,2.2427,3.9648,3.3529,7.7141,0.1433,0.4746
2013-04-01,2.7274,4.1339,3.3851,7.7492,0.1167,0.5023
2013-07-01,3.1015,4.3380,3.4000,7.7787,0.0833,0.3261
2013-10-01,3.2233,4.5048,3.3897,7.7572,0.0867,0.4370
2014-01-01,3.1424,4.5952,3.3614,7.6873,0.0733,0.3595
2014-04-01,2.9562,4.5785,3.3264,7.5840,0.0933,0.2788
2014-07-01,2.7624,4.4236,3.2960,7.4619,0.0900,0.3761
2014-10-01,2.6354,4.1185,3.2793,7.3343,0.1000,0.5038
2015-01-01,2.5577,3.7245,3.2774,7.2079,0.1100,0.3564
2015-04-01,2.4887,3.3219,3.2893,7.0877,0.1233,0.5298
2015-07-01,2.3878,2.9908,3.3140,6.9788,0.1367,0.1247
2015-10-01,2.2351,2.7868,3.3485,6.8866,0.1600,0.4922
2016-01-01,2.0933,2.6668,3.3818,6.8175,0.3600,0.6187
2016-04-01,2.0456,2.5635,3.4007,6.7782,0.3733,0.5934
2016-07-01,2.1754,2.4093,3.3920,6.7756,0.3967,0.6558
2016-10-01,2.5295,2.1612,3.3474,6.8104,0.4500,0.5012
2017-01-01,3.0083,1.8734,3.2776,6.8602,0.7000,0.9280
2017-04-01,3.4759,1.6248,3.1980,6.8966,0.9500,1.2357
2017-07-01,3.7961,1.4939,3.1240,6.8913,1.1533,1.5511
2017-10-01,3.8637,1.5389,3.0650,6.8295,1.2033,1.4015
2018-01-01,3.6960,1.7358,3.0061,6.7509,1.4467,1.6158
2018-04-01,3.3411,2.0397,2.9264,6.7089,1.7367,1.9365
2018-07-01,2.8470,2.4061,2.8050,6.7567,1.9233,2.2649
2018-10-01,2.2287,2.7791,2.6434,6.9033,2.2200,2.5029
2019-01-01,1.3694,3.0576,2.5326,6.9797,2.4033,2.6004
2019-04-01,0.1190,3.1297,2.5860,6.7725,2.3967,2.6980
2019-07-01,-1.6724,2.8832,2.9170,6.0685,2.1900,2.4497
2019-10-01,-3.9876,2.2651,3.5847,4.7843,1.6433,1.9902
2020-01-01,-6.1403,1.4587,4.4308,3.3569,1.2600,1.4398
2020-04-01,-7.2772,0.7065,5.2427,2.3532,0.0600,0.2772
2020-07-01,-6.5448,0.2510,5.8080,2.3402,0.0933,0.3041
2020-10-01,-3.4912,0.2614,5.9738,3.6511,0.0900,0.1936
2021-01-01,0.7299,0.6151,5.8261,5.6837,0.0800,0.3596
2021-04-01,4.5635,1.1161,5.5109,7.6020,0.0700,0.3461
2021-07-01,6.4544,1.5688,5.1740,8.5701,0.0900,0.3405
2021-10-01,5.3606,1.8225,4.9267,8.0163,0.0800,0.3065
2022-01-01,2.2914,1.9083,4.7424,6.4259,0.1200,0.2285
2022-04-01,-1.2308,1.9025,4.5599,4.5486,0.7700,0.9779
2022-07-01,-3.6838,1.8814,4.3180,3.1342,2.1900,2.4057
2022-10-01,-3.9266,1.9045,3.9777,2.7496,3.6533,3.8231
2023-01-01,-2.3449,1.9643,3.5884,3.2320,4.5167,4.7505
2023-04-01,0.2942,2.0365,3.2216,4.2355,4.9900,5.2804
2023-07-01,3.2239,2.0966,2.9490,5.4148,5.2600,5.6986
2023-10-01,5.6768,2.1203,2.8227,6.4243,5.3300,5.5975
2024-01-01,6.8860,2.0833,2.8170,6.9182,5.3300,5.6058
2024-04-01,6.0845,1.9613,2.8872,6.5511,5.3300,5.5726
2024-07-01,2.5050,1.7297,2.9880,4.9774,5.2633,5.3215
