date,us_ffr,china_gdp,hibor_3m,hk_exports_china_yoy,hk_property_price_qoq,gdp_growth,cpi_inflation,unemployment,hk_property_price_idx
1998-01-01,5.5200,7.3000,8.7202,4.4333,-14.2097,-2.7000,4.9667,3.3000,139.6667
1998-04-01,5.5000,7.0000,8.5030,-3.0333,-10.6444,-6.0000,4.4000,4.3000,124.8000
1998-07-01,5.5333,7.9000,10.8839,-12.2000,-16.9338,-8.3000,2.8000,5.2000,103.6667
1998-10-01,4.8600,9.2000,6.1369,-18.9333,-3.3762,-6.3000,-0.7333,5.9000,100.1667
1999-01-01,4.7333,9.0000,6.2292,-14.8000,2.3295,-3.0000,-1.8000,6.3000,102.5000
1999-04-01,4.7467,7.9000,5.4807,-11.0000,-0.0976,0.4000,-3.9667,6.1000,102.4000
1999-07-01,5.0933,7.7000,6.2560,4.6667,-2.6042,4.0000,-5.8667,6.3000,99.7333
1999-10-01,5.3067,6.8000,6.3341,10.0000,-4.4786,8.4000,-4.1333,6.3000,95.2667
2000-01-01,5.6767,8.8000,6.0841,22.7333,1.5745,10.7000,-5.1333,5.6000,96.7667
2000-04-01,6.2733,9.2000,6.7068,22.7667,-6.9239,7.4000,-4.4667,5.1000,90.0667
2000-07-01,6.5200,8.9000,6.3066,22.9000,-3.0348,7.2000,-2.8333,4.8000,87.3333
2000-10-01,6.4733,7.6000,6.0193,17.2333,-3.6260,5.7000,-2.5000,4.4000,84.1667
2001-01-01,5.5933,9.5000,5.0536,10.0333,-3.7624,2.0000,-1.9333,4.5000,81.0000
2001-04-01,4.3267,8.6000,3.9903,1.3333,0.2469,1.1000,-1.3333,4.5000,81.2000
2001-07-01,3.4967,8.0000,3.1570,4.2500,-3.1609,0.1000,-1.0667,5.2000,78.6333
2001-10-01,2.1333,7.5000,2.1146,-7.9000,-6.1043,-0.8000,-2.0667,6.3000,73.8333
2002-01-01,1.7333,9.0000,2.1027,2.5333,-0.0903,-0.6000,-2.6667,7.0000,73.7667
2002-04-01,1.7500,8.9000,1.8817,8.2000,-2.1238,0.5000,-3.1667,7.5000,72.2000
2002-07-01,1.7400,9.7000,1.8095,12.8000,-4.9400,2.4000,-3.4667,7.3000,68.6333
2002-10-01,1.4433,9.2000,1.6562,25.3000,-5.1481,4.1000,-2.9000,7.4000,65.1000
2003-01-01,1.2500,11.2000,1.4211,27.9667,-3.6354,3.9000,-1.9000,7.5000,62.7333
2003-04-01,1.2467,9.2000,1.3318,20.7667,-4.6227,-0.6000,-2.4667,8.5000,59.8333
2003-07-01,1.0167,10.1000,1.0543,16.4667,-0.8914,4.0000,-3.6667,8.2000,59.3000
2003-10-01,0.9967,10.1000,0.3244,21.1667,8.5441,4.7000,-2.3333,7.5000,64.3667
2004-01-01,1.0033,10.6000,0.1667,17.1667,14.3449,7.9000,-1.8667,7.2000,73.6000
2004-04-01,1.0100,11.6000,0.4189,22.1667,4.8913,12.1000,-0.8333,6.7000,77.2000
2004-07-01,1.4333,9.8000,0.9173,23.0333,0.7772,6.9000,0.8000,6.7000,77.8000
2004-10-01,1.9500,8.8000,0.4389,17.1667,7.1551,8.2000,0.2000,6.6000,83.3667
2005-01-01,2.4700,11.2000,1.8181,13.6333,7.8369,6.4000,0.3667,6.0000,89.9000
2005-04-01,2.9433,11.1000,2.9713,14.7000,5.1539,7.3000,0.8333,5.7000,94.5333
2005-07-01,3.4600,10.9000,3.8514,14.2667,-1.0226,8.3000,1.4333,5.4000,93.5667
2005-10-01,3.9800,12.4000,4.2772,14.4333,-3.6694,7.4000,1.2667,5.2000,90.1333
2006-01-01,4.4567,12.4000,4.1918,21.2667,1.5163,9.0000,1.5667,5.1000,91.5000
2006-04-01,4.9067,13.6000,4.5986,8.7000,1.8944,6.1000,2.0667,4.9000,93.2333
2006-07-01,5.2467,12.2000,4.2646,13.5000,-0.5363,6.4000,2.3000,4.6000,92.7333
2006-10-01,5.2467,12.5000,4.0222,17.0000,0.6111,6.8000,2.1667,4.5000,93.3000
2007-01-01,5.2567,13.6000,4.1805,12.9000,3.5013,5.9000,1.7333,4.3000,96.5667
2007-04-01,5.2500,14.9000,4.4705,15.9000,3.8315,6.2000,1.2667,4.2000,100.2667
2007-07-01,5.0733,14.2000,4.8036,12.8000,3.7566,6.7000,1.5667,4.1000,104.0333
2007-10-01,4.4967,13.9000,3.9967,11.1333,8.8433,7.0000,3.4667,3.4000,113.2333
