date,property_class_a,property_class_b,property_class_c,property_class_d,property_class_e,property_classes_abc,property_classes_de,hk_property_price_idx,property_class_a_remarks,property_class_b_remarks,property_class_c_remarks,property_class_d_remarks,property_class_e_remarks,property_classes_abc_remarks,property_classes_de_remarks,hk_property_price_remarks
1993-01-01,90.4000,81.3000,80.7000,74.2000,58.1000,85.5000,69.6000,84.4000,,,,,,,,
1993-02-01,90.5000,82.6000,81.3000,74.9000,62.2000,86.2000,71.3000,85.2000,,,,,,,,
1993-03-01,90.2000,83.9000,81.9000,75.4000,64.6000,86.7000,72.4000,85.7000,,,,,,,,
1993-04-01,92.5000,85.4000,83.7000,76.8000,66.2000,88.5000,73.9000,87.5000,,,,,,,,
1993-05-01,95.9000,88.6000,85.9000,80.5000,72.3000,91.6000,78.2000,90.7000,,,,,,,,
1993-06-01,98.3000,94.0000,91.4000,86.9000,76.3000,95.6000,84.0000,94.9000,,,,,,,,
1993-07-01,100.1000,98.0000,97.6000,90.6000,79.2000,98.9000,87.4000,98.1000,,,,,,,,
1993-08-01,101.0000,97.9000,96.1000,91.1000,76.8000,99.1000,87.1000,98.3000,,,,,,,,
1993-09-01,100.7000,96.2000,95.5000,88.7000,79.0000,98.1000,86.0000,97.3000,,,,,,,,
1993-10-01,97.8000,94.4000,95.6000,90.0000,83.2000,96.0000,88.1000,95.5000,,,,,,,,
1993-11-01,99.5000,97.3000,97.5000,92.9000,85.3000,98.3000,90.8000,97.8000,,,,,,,,
1993-12-01,102.2000,100.2000,100.3000,99.0000,92.4000,101.1000,97.2000,100.8000,,,,,,,,
1994-01-01,106.3000,108.6000,110.2000,106.6000,104.0000,107.8000,105.9000,107.7000,,,,,,,,
1994-02-01,109.9000,112.9000,113.3000,111.1000,108.3000,111.7000,110.3000,111.6000,,,,,,,,
1994-03-01,114.5000,122.9000,123.2000,119.7000,120.2000,119.4000,119.8000,119.4000,,,,,,,,
1994-04-01,116.9000,117.7000,123.8000,124.3000,120.5000,117.9000,123.3000,118.2000,,,,,,,,
1994-05-01,114.8000,115.8000,123.0000,115.4000,116.3000,116.0000,115.6000,116.0000,,,,,,,,
1994-06-01,114.1000,116.7000,122.8000,119.0000,112.8000,116.1000,117.3000,116.1000,,,,,,,,
1994-07-01,113.5000,113.0000,118.6000,116.7000,112.1000,113.7000,115.5000,113.8000,,,,,,,,
1994-08-01,116.7000,117.4000,122.7000,123.5000,115.6000,117.5000,121.4000,117.7000,,,,,,,,
1994-09-01,116.1000,115.6000,121.1000,117.0000,118.0000,116.3000,117.3000,116.3000,,,,,,,,
1994-10-01,116.5000,116.7000,118.4000,119.7000,115.1000,116.8000,118.5000,116.8000,,,,,,,,
1994-11-01,115.7000,114.1000,117.6000,117.7000,116.4000,115.1000,117.4000,115.2000,,,,,,,,
1994-12-01,110.2000,108.9000,114.5000,112.2000,118.4000,109.9000,113.8000,110.1000,,,,,,,,
1995-01-01,109.9000,109.9000,110.8000,111.0000,111.3000,110.0000,111.1000,110.0000,,,,,,,,
1995-02-01,113.9000,112.4000,109.8000,102.3000,99.5000,112.9000,101.6000,112.4000,,,,,Z,,,
1995-03-01,114.2000,112.9000,112.7000,108.9000,113.1000,113.5000,109.9000,113.3000,,,,,,,,
1995-04-01,114.7000,111.2000,112.0000,109.1000,113.6000,112.8000,110.1000,112.7000,,,,,,,,
1995-05-01,110.8000,109.4000,111.5000,109.8000,103.5000,110.2000,108.4000,110.1000,,,,,,,,
1995-06-01,110.4000,106.0000,108.8000,108.1000,108.7000,108.2000,108.2000,108.2000,,,,,,,,
1995-07-01,108.5000,105.0000,104.9000,103.2000,104.3000,106.5000,103.5000,106.4000,,,,,,,,
1995-08-01,108.0000,102.4000,105.4000,102.1000,101.3000,105.1000,101.9000,105.0000,,,,,,,,
1995-09-01,104.5000,99.6000,99.9000,98.9000,96.1000,101.8000,98.2000,101.6000,,,,,,,,
1995-10-01,103.5000,99.1000,98.9000,96.6000,96.2000,101.0000,96.5000,100.8000,,,,,,,,
1995-11-01,105.4000,102.0000,100.6000,99.7000,99.3000,103.3000,99.6000,103.2000,,,,,,,,
1995-12-01,106.3000,102.7000,102.9000,99.2000,94.0000,104.2000,98.0000,103.9000,,,,,,,,
1996-01-01,106.9000,104.7000,102.0000,100.2000,102.5000,105.4000,100.8000,105.2000,,,,,,,,
1996-02-01,109.1000,108.6000,107.2000,106.4000,104.5000,108.7000,105.9000,108.5000,,,,,,,,
1996-03-01,112.2000,114.5000,109.2000,107.6000,109.9000,113.1000,108.2000,112.8000,,,,,,,,
1996-04-01,112.1000,112.4000,110.9000,109.6000,113.4000,112.1000,110.6000,112.1000,,,,,,,,
1996-05-01,113.3000,113.5000,114.2000,111.7000,116.8000,113.5000,113.0000,113.5000,,,,,,,,
1996-06-01,114.7000,114.8000,117.1000,114.8000,116.3000,115.0000,115.2000,115.0000,,,,,,,,
1996-07-01,115.4000,114.0000,114.2000,115.0000,115.8000,114.6000,115.2000,114.6000,,,,,,,,
1996-08-01,116.8000,118.5000,116.4000,113.9000,115.6000,117.6000,114.3000,117.4000,,,,,,,,
1996-09-01,119.0000,117.7000,117.0000,118.7000,116.5000,118.2000,118.2000,118.2000,,,,,,,,
1996-10-01,122.4000,123.3000,124.0000,125.7000,124.1000,123.0000,125.3000,123.1000,,,,,,,,
