date,us_mp_shock_bsw,us_mp_shock_bsw_orth
1994-01-01,0.1157,0.0763
1994-04-01,0.0537,-0.0041
1994-07-01,0.0401,-0.0586
1994-10-01,0.0541,-0.0012
1995-01-01,0.1007,0.0060
1995-04-01,0.0031,-0.0195
1995-07-01,-0.1009,-0.1100
1995-10-01,0.0114,-0.0172
1996-01-01,0.0066,-0.0655
1996-04-01,0.0240,0.0269
1996-07-01,-0.0826,-0.1152
1996-10-01,-0.0003,-0.0347
1997-01-01,0.0932,0.0189
1997-04-01,-0.0522,-0.0651
1997-07-01,0.0276,-0.0145
1997-10-01,-0.0170,-0.0668
1998-01-01,0.0388,-0.0029
1998-04-01,-0.0068,-0.0079
1998-07-01,0.0548,0.0849
1998-10-01,-0.2760,-0.2299
1999-01-01,-0.0040,-0.0477
1999-04-01,0.0251,0.0153
1999-07-01,0.0078,-0.0304
1999-10-01,0.2143,0.1402
2000-01-01,0.0174,-0.0212
2000-04-01,0.0450,0.0125
2000-07-01,0.0244,0.0182
2000-10-01,0.1008,0.1144
2001-01-01,-0.1911,-0.1137
2001-04-01,-0.3419,-0.1431
2001-07-01,-0.0266,0.0078
2001-10-01,-0.2649,-0.0266
2002-01-01,-0.0223,-0.0015
2002-04-01,-0.0137,0.0285
2002-07-01,-0.1120,-0.0661
2002-10-01,-0.0432,-0.0348
2003-01-01,0.0690,0.1201
2003-04-01,0.0567,0.0497
2003-07-01,-0.0224,0.0195
2003-10-01,-0.0371,-0.0815
2004-01-01,0.0933,0.0561
2004-04-01,-0.0027,-0.0388
2004-07-01,0.0456,0.0493
2004-10-01,-0.0241,-0.0950
2005-01-01,0.0802,0.0281
2005-04-01,0.0894,0.0707
2005-07-01,0.0206,-0.0379
2005-10-01,-0.0017,-0.0566
2006-01-01,0.1023,0.0602
2006-04-01,0.0348,0.0205
2006-07-01,0.0049,0.0009
2006-10-01,-0.0254,-0.0478
2007-01-01,-0.0879,-0.0658
2007-04-01,0.0759,0.0604
2007-07-01,-0.2040,-0.1281
2007-10-01,0.1686,0.2123
2008-01-01,-0.0637,0.0055
2008-04-01,-0.1126,-0.0985
2008-07-01,0.0791,0.1901
2008-10-01,-0.2886,0.0024
2009-01-01,-0.0567,0.0307
2009-04-01,0.0822,0.1064
2009-07-01,-0.1022,-0.0722
2009-10-01,0.0038,0.0082
2010-01-01,0.0091,0.0609
2010-04-01,0.0184,0.0384
2010-07-01,-0.0165,-0.0308
2010-10-01,0.0126,-0.0247
2011-01-01,0.0149,-0.0140
2011-04-01,0.0130,-0.0043
2011-07-01,0.0597,0.0581
2011-10-01,0.0422,0.0458
2012-01-01,0.0115,-0.0587
2012-04-01,0.0431,0.0400
2012-07-01,0.0482,-0.0115
2012-10-01,0.0147,-0.0313
2013-01-01,0.0190,-0.0448
2013-04-01,0.0201,-0.0074
2013-07-01,0.0037,-0.0201
2013-10-01,0.0222,-0.0444
2014-01-01,0.0354,0.0100
2014-04-01,0.0299,0.0012
2014-07-01,0.0289,0.0435
2014-10-01,-0.0181,0.0274
2015-01-01,-0.0640,-0.0095
2015-04-01,-0.0305,-0.0272
2015-07-01,-0.0595,0.0080
2015-10-01,0.0832,0.1173
2016-01-01,-0.1031,-0.0800
2016-04-01,-0.0197,-0.0384
2016-07-01,-0.0058,-0.0129
2016-10-01,0.0594,0.0463
2017-01-01,-0.0628,-0.0515
2017-04-01,0.0508,0.0899
2017-07-01,0.0560,0.0482
2017-10-01,0.0161,0.0322
2018-01-01,0.0214,0.0062
2018-04-01,0.0322,0.0556
2018-07-01,0.0107,0.0262
2018-10-01,0.0479,0.0945
2019-01-01,-0.0446,0.0035
2019-04-01,-0.1142,-0.0564
2019-07-01,0.0983,0.1191
2019-10-01,0.0357,0.0695
