horizon,target,shock,share
1,us_ffr,us_ffr,0.9498
1,us_ffr,china_gdp,0.0458
1,us_ffr,gdp_growth,0.0
1,us_ffr,cpi_inflation,0.0003
1,us_ffr,unemployment,0.0013
1,us_ffr,hibor_3m,0.0028
1,china_gdp,us_ffr,0.0114
1,china_gdp,china_gdp,0.9868
1,china_gdp,gdp_growth,0.0002
1,china_gdp,cpi_inflation,0.0006
1,china_gdp,unemployment,0.0006
1,china_gdp,hibor_3m,0.0003
1,gdp_growth,us_ffr,0.0005
1,gdp_growth,china_gdp,0.6965
1,gdp_growth,gdp_growth,0.2976
1,gdp_growth,cpi_inflation,0.0045
1,gdp_growth,unemployment,0.0001
1,gdp_growth,hibor_3m,0.0008
1,cpi_inflation,us_ffr,0.0192
1,cpi_inflation,china_gdp,0.0779
1,cpi_inflation,gdp_growth,0.0689
1,cpi_inflation,cpi_inflation,0.8298
1,cpi_inflation,unemployment,0.0017
1,cpi_inflation,hibor_3m,0.0025
1,unemployment,us_ffr,0.0528
1,unemployment,china_gdp,0.2466
1,unemployment,gdp_growth,0.1285
1,unemployment,cpi_inflation,0.3001
1,unemployment,unemployment,0.2718
1,unemployment,hibor_3m,0.0002
1,hibor_3m,us_ffr,0.9116
1,hibor_3m,china_gdp,0.0568
1,hibor_3m,gdp_growth,0.0004
1,hibor_3m,cpi_inflation,0.001
1,hibor_3m,unemployment,0.0016
1,hibor_3m,hibor_3m,0.0285
4,us_ffr,us_ffr,0.7625
4,us_ffr,china_gdp,0.1835
4,us_ffr,gdp_growth,0.003
4,us_ffr,cpi_inflation,0.015
4,us_ffr,unemployment,0.0346
4,us_ffr,hibor_3m,0.0013
4,china_gdp,us_ffr,0.01
4,china_gdp,china_gdp,0.947
4,china_gdp,gdp_growth,0.0006
4,china_gdp,cpi_inflation,0.0034
4,china_gdp,unemployment,0.0246
4,china_gdp,hibor_3m,0.0145
4,gdp_growth,us_ffr,0.0006
4,gdp_growth,china_gdp,0.7868
4,gdp_growth,gdp_growth,0.1856
4,gdp_growth,cpi_inflation,0.0254
4,gdp_growth,unemployment,0.0012
4,gdp_growth,hibor_3m,0.0004
4,cpi_inflation,us_ffr,0.0179
4,cpi_inflation,china_gdp,0.1729
4,cpi_inflation,gdp_growth,0.0324
4,cpi_inflation,cpi_inflation,0.7493
4,cpi_inflation,unemployment,0.0251
4,cpi_inflation,hibor_3m,0.0024
4,unemployment,us_ffr,0.0766
4,unemployment,china_gdp,0.2673
4,unemployment,gdp_growth,0.1438
4,unemployment,cpi_inflation,0.2361
4,unemployment,unemployment,0.267
4,unemployment,hibor_3m,0.0092
4,hibor_3m,us_ffr,0.7468
4,hibor_3m,china_gdp,0.1949
4,hibor_3m,gdp_growth,0.0034
4,hibor_3m,cpi_inflation,0.0148
4,hibor_3m,unemployment,0.0342
4,hibor_3m,hibor_3m,0.0059
8,us_ffr,us_ffr,0.5946
8,us_ffr,china_gdp,0.1902
