scenario,date,variable,forecast,space
baseline,2023-10-01,us_ffr,5.208,level
baseline,2023-10-01,china_gdp,3.588,level
baseline,2023-10-01,gdp_growth,3.071,level
baseline,2023-10-01,cpi_inflation,1.949,level
baseline,2023-10-01,unemployment,2.623,level
baseline,2023-10-01,hibor_3m,4.488,level
baseline,2024-01-01,us_ffr,5.019,level
baseline,2024-01-01,china_gdp,3.039,level
baseline,2024-01-01,gdp_growth,2.509,level
baseline,2024-01-01,cpi_inflation,1.738,level
baseline,2024-01-01,unemployment,2.671,level
baseline,2024-01-01,hibor_3m,4.256,level
baseline,2024-04-01,us_ffr,4.685,level
baseline,2024-04-01,china_gdp,2.919,level
baseline,2024-04-01,gdp_growth,2.38,level
baseline,2024-04-01,cpi_inflation,1.493,level
baseline,2024-04-01,unemployment,2.776,level
baseline,2024-04-01,hibor_3m,3.782,level
baseline,2024-07-01,us_ffr,4.31,level
baseline,2024-07-01,china_gdp,2.626,level
baseline,2024-07-01,gdp_growth,2.007,level
baseline,2024-07-01,cpi_inflation,1.247,level
baseline,2024-07-01,unemployment,2.913,level
baseline,2024-07-01,hibor_3m,3.281,level
baseline,2024-10-01,us_ffr,3.919,level
baseline,2024-10-01,china_gdp,2.496,level
baseline,2024-10-01,gdp_growth,1.945,level
baseline,2024-10-01,cpi_inflation,1.04,level
baseline,2024-10-01,unemployment,3.078,level
baseline,2024-10-01,hibor_3m,2.797,level
baseline,2025-01-01,us_ffr,3.549,level
baseline,2025-01-01,china_gdp,2.512,level
baseline,2025-01-01,gdp_growth,2.013,level
baseline,2025-01-01,cpi_inflation,0.898,level
baseline,2025-01-01,unemployment,3.238,level
baseline,2025-01-01,hibor_3m,2.338,level
baseline,2025-04-01,us_ffr,3.217,level
baseline,2025-04-01,china_gdp,2.656,level
baseline,2025-04-01,gdp_growth,2.232,level
baseline,2025-04-01,cpi_inflation,0.83,level
baseline,2025-04-01,unemployment,3.376,level
baseline,2025-04-01,hibor_3m,1.929,level
baseline,2025-07-01,us_ffr,2.929,level
baseline,2025-07-01,china_gdp,2.91,level
baseline,2025-07-01,gdp_growth,2.535,level
baseline,2025-07-01,cpi_inflation,0.833,level
baseline,2025-07-01,unemployment,3.479,level
baseline,2025-07-01,hibor_3m,1.579,level
weak_external,2023-10-01,us_ffr,7.818,level
weak_external,2023-10-01,china_gdp,6.083,level
weak_external,2023-10-01,gdp_growth,5.282,level
weak_external,2023-10-01,cpi_inflation,1.97,level
weak_external,2023-10-01,unemployment,2.092,level
weak_external,2023-10-01,hibor_3m,5.801,level
weak_external,2024-01-01,us_ffr,8.344,level
weak_external,2024-01-01,china_gdp,5.525,level
weak_external,2024-01-01,gdp_growth,5.14,level
weak_external,2024-01-01,cpi_inflation,1.756,level
weak_external,2024-01-01,unemployment,1.477,level
weak_external,2024-01-01,hibor_3m,5.968,level
weak_external,2024-04-01,us_ffr,8.292,level
weak_external,2024-04-01,china_gdp,4.615,level
weak_external,2024-04-01,gdp_growth,4.66,level
weak_external,2024-04-01,cpi_inflation,1.479,level
weak_external,2024-04-01,unemployment,1.337,level
weak_external,2024-04-01,hibor_3m,5.539,level
weak_external,2024-07-01,us_ffr,7.932,level
weak_external,2024-07-01,china_gdp,4.319,level
weak_external,2024-07-01,gdp_growth,3.846,level
weak_external,2024-07-01,cpi_inflation,1.186,level
weak_external,2024-07-01,unemployment,1.436,level
weak_external,2024-07-01,hibor_3m,4.969,level
weak_external,2024-10-01,us_ffr,7.411,level
weak_external,2024-10-01,china_gdp,4.234,level
weak_external,2024-10-01,gdp_growth,3.319,level
weak_external,2024-10-01,cpi_inflation,0.919,level
weak_external,2024-10-01,unemployment,1.6,level
weak_external,2024-10-01,hibor_3m,4.24,level
weak_external,2025-01-01,us_ffr,6.796,level
weak_external,2025-01-01,china_gdp,4.289,level
weak_external,2025-01-01,gdp_growth,3.01,level
weak_external,2025-01-01,cpi_inflation,0.7,level
weak_external,2025-01-01,unemployment,1.794,level
weak_external,2025-01-01,hibor_3m,3.444,level
weak_external,2025-04-01,us_ffr,6.14,level
weak_external,2025-04-01,china_gdp,4.501,level
weak_external,2025-04-01,gdp_growth,2.885,level
weak_external,2025-04-01,cpi_inflation,0.54,level
weak_external,2025-04-01,unemployment,2.004,level
weak_external,2025-04-01,hibor_3m,2.655,level
weak_external,2025-07-01,us_ffr,5.482,level
weak_external,2025-07-01,china_gdp,4.795,level
weak_external,2025-07-01,gdp_growth,2.86,level
weak_external,2025-07-01,cpi_inflation,0.437,level
weak_external,2025-07-01,unemployment,2.212,level
weak_external,2025-07-01,hibor_3m,1.893,level
global_easing,2023-10-01,us_ffr,3.484,level
global_easing,2023-10-01,china_gdp,1.59,level
global_easing,2023-10-01,gdp_growth,1.757,level
global_easing,2023-10-01,cpi_inflation,1.935,level
global_easing,2023-10-01,unemployment,2.97,level
global_easing,2023-10-01,hibor_3m,3.609,level
global_easing,2024-01-01,us_ffr,2.804,level
global_easing,2024-01-01,china_gdp,1.064,level
global_easing,2024-01-01,gdp_growth,0.961,level
global_easing,2024-01-01,cpi_inflation,1.727,level
global_easing,2024-01-01,unemployment,3.459,level
global_easing,2024-01-01,hibor_3m,3.074,level
global_easing,2024-04-01,us_ffr,2.282,level
global_easing,2024-04-01,china_gdp,1.472,level
global_easing,2024-04-01,gdp_growth,0.963,level
global_easing,2024-04-01,cpi_inflation,1.506,level
global_easing,2024-04-01,unemployment,3.722,level
global_easing,2024-04-01,hibor_3m,2.595,level
global_easing,2024-07-01,us_ffr,1.898,level
global_easing,2024-07-01,china_gdp,1.159,level
global_easing,2024-07-01,gdp_growth,0.876,level
global_easing,2024-07-01,cpi_inflation,1.298,level
global_easing,2024-07-01,unemployment,3.879,level
global_easing,2024-07-01,hibor_3m,2.141,level
global_easing,2024-10-01,us_ffr,1.598,level
global_easing,2024-10-01,china_gdp,0.996,level
global_easing,2024-10-01,gdp_growth,1.098,level
global_easing,2024-10-01,cpi_inflation,1.14,level
global_easing,2024-10-01,unemployment,4.045,level
global_easing,2024-10-01,hibor_3m,1.823,level
